Year,Date,Holiday
2009,1/1/09,New Year's Day
2009,1/19/09,"Birthday of Martin Luther King, Jr."
2009,2/16/09,Washington's Birthday
2009,5/25/09,Memorial Day
2009,7/3/09,Independence Day
2009,9/7/09,Labor Day
2009,10/12/09,Columbus Day
2009,11/11/09,Veterans Day
2009,11/26/09,Thanksgiving Day
2009,12/25/09,Christmas Day
2010,1/1/10,New Year's Day
2010,1/18/10,"Birthday of Martin Luther King, Jr."
2010,2/15/10,Washington's Birthday
2010,5/31/10,Memorial Day
2010,7/5/10,Independence Day
2010,9/6/10,Labor Day
2010,10/11/10,Columbus Day
2010,11/11/10,Veterans Day
2010,11/25/10,Thanksgiving Day
2010,12/24/10,Christmas Day
2011,12/31/11,New Year's Day
2011,1/17/11,"Birthday of Martin Luther King, Jr."
2011,2/21/11,Washington's Birthday
2011,5/30/11,Memorial Day
2011,7/4/11,Independence Day
2011,9/5/11,Labor Day
2011,10/10/11,Columbus Day
2011,11/11/11,Veterans Day
2011,11/24/11,Thanksgiving Day
2011,12/26/11,Christmas Day
2012,1/2/12,New Year's Day
2012,1/16/12,"Birthday of Martin Luther King, Jr."
2012,2/20/12,Washington's Birthday
2012,5/28/12,Memorial Day
2012,7/4/12,Independence Day
2012,9/3/12,Labor Day
2012,10/8/12,Columbus Day
2012,11/12/12,Veterans Day
2012,11/22/12,Thanksgiving Day
2012,12/25/12,Christmas Day
2013,1/1/13,New Year's Day
2013,1/21/13,"Birthday of Martin Luther King, Jr."
2013,2/18/13,Washington's Birthday
2013,5/27/13,Memorial Day
2013,7/4/13,Independence Day
2013,9/2/13,Labor Day
2013,10/14/13,Columbus Day
2013,11/11/13,Veterans Day
2013,11/28/13,Thanksgiving Day
2013,12/25/13,Christmas Day
2014,1/1/14,New Year's Day
2014,1/20/14,"Birthday of Martin Luther King, Jr."
2014,2/17/14,Washington's Birthday
2014,5/26/14,Memorial Day
2014,7/4/14,Independence Day
2014,9/1/14,Labor Day
2014,10/13/14,Columbus Day
2014,11/11/14,Veterans Day
2014,11/27/14,Thanksgiving Day
2014,12/25/14,Christmas Day
2015,1/1/15,New Year's Day
2015,1/19/15,"Birthday of Martin Luther King, Jr."
2015,2/16/15,Washington's Birthday
2015,5/25/15,Memorial Day
2015,7/3/15,Independence Day
2015,9/7/15,Labor Day
2015,10/12/15,Columbus Day
2015,11/11/15,Veterans Day
2015,11/26/15,Thanksgiving Day
2015,12/25/15,Christmas Day
2016,1/1/16,New Year's Day
2016,1/18/16,"Birthday of Martin Luther King, Jr."
2016,2/15/16,Washington's Birthday
2016,5/30/16,Memorial Day
2016,7/4/16,Independence Day
2016,9/5/16,Labor Day
2016,10/10/16,Columbus Day
2016,11/11/16,Veterans Day
2016,11/24/16,Thanksgiving Day
2016,12/26/16,Christmas Day
2017,1/2/17,New Year's Day
2017,1/16/17,"Birthday of Martin Luther King, Jr."
2017,2/20/17,Washington's Birthday
2017,5/29/17,Memorial Day
2017,7/4/17,Independence Day
2017,9/4/17,Labor Day
2017,10/9/17,Columbus Day
2017,11/10/17,Veterans Day
2017,11/23/17,Thanksgiving Day
2017,12/25/17,Christmas Day
2018,1/1/18,New Year's Day
2018,1/15/18,"Birthday of Martin Luther King, Jr."
2018,2/19/18,Washington's Birthday
2018,5/28/18,Memorial Day
2018,7/4/18,Independence Day
2018,9/3/18,Labor Day
2018,10/8/18,Columbus Day
2018,11/12/18,Veterans Day
2018,11/22/18,Thanksgiving Day
2018,12/25/18,Christmas Day
2019,1/1/19,New Year's Day
2019,1/21/19,"Birthday of Martin Luther King, Jr."
2019,2/18/19,Washington's Birthday
2019,5/27/19,Memorial Day
2019,7/4/19,Independence Day
2019,9/2/19,Labor Day
2019,10/14/19,Columbus Day
2019,11/11/19,Veterans Day
2019,11/28/19,Thanksgiving Day
2019,12/25/19,Christmas Day
2020,1/1/20,New Year's Day
2020,1/20/20,"Birthday of Martin Luther King, Jr."
2020,2/17/20,Washington's Birthday
2020,5/25/20,Memorial Day
2020,7/3/20,Independence Day
2020,9/7/20,Labor Day
2020,10/12/20,Columbus Day
2020,11/11/20,Veterans Day
2020,11/26/20,Thanksgiving Day
2020,12/25/20,Christmas Day